energy,percentage
0.0,32.66
0.582,12.23
0.794,8.55
0.821,8.16
0.992,6.13
1.016,5.88
1.304,3.62
1.5,2.6
1.647,2.03
1.696,1.86
1.856,1.43
1.908,1.3
1.961,1.19
1.971,1.17
1.973,1.17
2.075,0.98
2.135,0.89
2.208,0.79
2.287,0.69
2.386,0.58
2.394,0.57
2.484,0.49
2.631,0.38
2.812,0.28
2.862,0.26
2.919,0.24
2.954,0.22
3.049,0.19
3.099,0.17
3.128,0.17
3.174,0.15
3.18,0.15
3.213,0.14
3.256,0.13
3.287,0.13
3.322,0.12
3.399,0.11
3.402,0.1
3.477,0.09
3.531,0.08
3.573,0.08
3.585,0.08
3.585,0.08
3.586,0.08
3.617,0.07
3.644,0.07
3.651,0.07
3.678,0.07
3.728,0.06
3.749,0.06
3.754,0.06
3.824,0.05
3.841,0.05
3.844,0.05
3.852,0.05
3.887,0.05
3.931,0.04
3.992,0.04
4.003,0.04
4.024,0.04
4.025,0.04
4.06,0.03
4.136,0.03
4.141,0.03
4.231,0.03
4.276,0.02
4.282,0.02
4.291,0.02
4.324,0.02
4.357,0.02
4.422,0.02
4.485,0.02
4.488,0.02
4.503,0.02
4.511,0.02
4.547,0.02
4.551,0.02
4.576,0.01
4.581,0.01
4.621,0.01
4.634,0.01
4.656,0.01
4.724,0.01
4.819,0.01
4.838,0.01
4.847,0.01
4.892,0.01
4.93,0.01
4.93,0.01
4.931,0.01
4.954,0.01
4.986,0.01
5.024,0.01
5.042,0.01
5.068,0.01
5.072,0.01
5.101,0.01
5.138,0.01
5.14,0.01
5.147,0.01
5.15,0.01
5.152,0.01
5.166,0.01
5.17,0.01
5.186,0.01
5.194,0.01
5.236,0.0
5.262,0.0
5.302,0.0
5.34,0.0
5.368,0.0
5.369,0.0
5.371,0.0
5.424,0.0
5.429,0.0
5.472,0.0
5.522,0.0
5.561,0.0
5.574,0.0
5.592,0.0
5.617,0.0
5.653,0.0
5.685,0.0
5.686,0.0
5.705,0.0
5.718,0.0
5.76,0.0
5.789,0.0
5.791,0.0
5.805,0.0
5.806,0.0
5.81,0.0
5.818,0.0
5.831,0.0
5.852,0.0
5.865,0.0
5.871,0.0
5.875,0.0
5.888,0.0
5.91,0.0
5.92,0.0
5.926,0.0
5.955,0.0
5.963,0.0
