Atomic Number,First Ionization Energy (eV)
1,13.6
2,24.59
3,5.32
4,9.321
5,8.297
6,11.257
7,14.53
8,13.62
9,17.42
10,21.56
11,5.138
12,7.642
13,5.984
14,8.151
15,10.485
16,10.36
17,12.966
18,15.76
19,4.34
20,6.111
21,6.54
22,6.82
23,6.74
24,6.764
25,7.435
26,7.869
27,7.876
28,7.635
29,7.725
30,9.393
31,5.998
32,7.898
33,9.814
34,9.751
35,11.814
36,13.998
37,4.177
38,5.695
39,6.38
40,6.84
41,6.88
42,7.099
43,7.28
44,7.37
45,7.46
46,8.34
47,7.576
48,8.992
49,5.786
50,7.344
51,8.64
52,9.008
53,10.45
54,12.13
55,3.894
56,5.211
57,5.577
58,5.466
59,5.473
60,5.489
61,5.554
62,5.631
63,5.666
64,6.14
65,5.851
66,5.927
67,6.018
68,6.101
69,6.184
70,6.254
71,5.425
72,6.65
73,7.89
74,7.89
75,7.88
76,8.71
77,9.12
78,9.12
79,9.22
80,10.44
81,6.107
82,7.415
83,7.289
84,8.42
85,9.64
86,10.75
87,4.15
88,5.278
89,5.17
90,6.08
91,5.89
92,6.19
93,6.27
94,6.06
95,5.99
96,6.02
97,6.23
98,6.28
99,6.42
100,6.5
101,6.58
102,6.65
103,4.6
